Uniq Id,Product Name,Brand Name,Category,Product Description,Selling Price,Product Specification,Technical Details,Shipping Weight,Image,Product Url,Is Amazon Seller,Product Description
A1,Mobile Phone,Apple,Electronic device,cutting-edge technology,$237.68 ,Shipping Weight: 10.7 pounds (View shipping rates and policies)|ASIN: B07KMVJJK7|    #474    in Longboards Skateboard,,10.7 pounds,https://images-na.ssl-images-amazon.com/images/I/51j3fPQTQkL.jpg|https://images-na.ssl-images-amazon.com/images/I/31hKM3cSoSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51WlHdwghfL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FsyLRBzwL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/DB-Longboards-CoreFlex-Fiberglass-Longboard/dp/B07KMVJJK7,Y,Adidas products offer best performance
A2,Laptop,Samsung,,,$99.95 ,Product Dimensions:         14.7 x 11.1 x 10.2 inches ; 4.06 pounds    |Shipping Weight: 4 pounds (View shipping rates and policies)|Domestic Shipping: Item can be shipped within U.S.|International Shipping: This item can be shipped to select countries outside of the U.S.  Learn More|ASIN: B008AK6DAS|Item model number: 55324|    #3032    in Science Kits & Toys,"The snap circuits mini kits classpack provides basic electric circuitry information for students in grades 2-6. This classpack includes 5 snap-together building kits. Components snap together to create working models of everyday electronic devices. Kits included are an FM radio, a motion detector, a music box, space battle sound effects, and a flying saucer. Each mini kit comes with individual components, and an activity guide which includes instructions and additional project ideas. Each primary-colored component represents one function in a circuit. Activity kits are used by teachers and students in classroom and homeschool settings for educational and research applications in science, math, and for a variety of additional disciplines. Science education products and manipulatives incorporate applied math and science principles into classroom or homeschool projects. Teachers in pre-K, elementary, and secondary classrooms use science education kits, manipualtives, and products alongside science, technology, engineering, and math (STEM) curriculum to demonstrate STEM concepts and real-world applications through hands-on activities. Science education projects include a broad range of activities, such as practical experiments in engineering, aeronautics, robotics, chemistry, physics, biology, and geology.",4 pounds,https://images-na.ssl-images-amazon.com/images/I/51M0KnJxjKL.jpg|https://images-na.ssl-images-amazon.com/images/I/5166GD8OkXL.jpg|https://images-na.ssl-images-amazon.com/images/I/61o5S1VnaNL.jpg|https://images-na.ssl-images-amazon.com/images/I/61t4Q0rPYjL.jpg|https://images-na.ssl-images-amazon.com/images/I/61NASUAyqcL.jpg|https://images-na.ssl-images-amazon.com/images/I/51OMrADdyJL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Electronic-Circuits-Classpack-Motion-Detector/dp/B008AK6DAS,Y,Best gaming experience
A3,Jacket,Puma,Clothing,high quality material,$34.99 ,ProductDimensions:10.3x3.4x0.8inches|ItemWeight:12.8ounces|ShippingWeight:12.8ounces(Viewshippingratesandpolicies)|ASIN:B07D36747F|Manufacturerrecommendedage:14yearsandup,"show up to 2 reviews by default No longer are you bound by the rigid constraints of hard plastic! Our FLEXY line you can now squeeze, stretch, and twist your creations providing a truly dynamic Doodling experience. Do you want to take your creativity to new levels? Explore the wide variety of FLEXY plastic refill colors for your 3Doodler Create 3D pen! Flexy Plastics are compatible with the 3Doodler V.1, 2.0, and create 3D printing pens. Available in single & mixed color pack containing 25 strands each, and single colors tubes containing 100 strands. | 12.8 ounces (View shipping rates and policies)",12.8 ounces,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/3Doodler-Plastic-Innovate-Filament-Refills/dp/B07D36747F,Y,Best gaming experience
A4,Jewllery,Dezire,Jewllery and Accessories,,$28.91 ,ProductDimensions:3.5x6.2x13inches|ItemWeight:13.4ounces|ShippingWeight:13.4ounces(Viewshippingratesandpolicies)|DomesticShipping:ItemcanbeshippedwithinU.S.|InternationalShipping:ThisitemcanbeshippedtoselectcountriesoutsideoftheU.S.LearnMore|ASIN:B076Y2SNHM|Itemmodelnumber:142|Manufacturerrecommendedage:8yearsandup,"Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it! | 13.4 ounces (View shipping rates and policies) | show up to 2 reviews by default Kit contains parts to let your imagination soar and build flying planes! comes with over 35 parts (balsa wood wings, tails & bodies, plastic propellers and landing gear, rubber motors, etc) to let you build your own unique flying toy designs. Simple to build, easy to fly and hours of fun!",13.4 ounces,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg|https://images-na.ssl-images-amazon.com/images/I/51J6y3oM6VL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Guillow-Airplane-Design-Studio-Building/dp/B076Y2SNHM,Y,Best gaming experience
A5,Gaming kit,Lego,Sports and Games,Best gaming experience,$17.49 ,ProductDimensions:1.9x8x10inches|ItemWeight:13.4ounces|ShippingWeight:13.4ounces(Viewshippingratesandpolicies)|ASIN:B07MX21WWX|Itemmodelnumber:62151|Manufacturerrecommendedage:14yearsandup,show up to 2 reviews by default 100% Officially licensed merchandise; complete puzzle measures 14 x 19 in. | 13.4 ounces (View shipping rates and policies),13.4 ounces,https://images-na.ssl-images-amazon.com/images/I/61plo8Xv4vL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Woodstock-Collage-500-pc-Puzzle/dp/B07MX21WWX,Y,Best gaming experience
A6,Baby powder,Johnson & Johnson,Baby Product,safe and hygiene,$29.12 ,ProductDimensions:16x8x1inches|ItemWeight:1pounds|ShippingWeight:9.8ounces(Viewshippingratesandpolicies)|ASIN:B07BZJM592|Itemmodelnumber:B07BZJM592|Manufacturerrecommendedage:12month-2years,"Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it! | Size:Toddler Transform into the popular and cute mouse-like Pokemon while on the hunt. Officially licensed deluxe Pokemon child's Pikachu costume Featuring a fleece jumpsuit with attached tail and headpiece with attached ears and printed face. Costumes are sized differently than apparel, use the Rubies child's size chart, do not choose based on child's age or clothing size. Pair with other Rubie's Officially Licensed Pokemon costumes for group or family fun! Look for Pikachu, Ash, Misty, Brock, Dawn, clemont, Serena, cilan, may, Squirtle, Charizard, and many more! Rubie's brings fun and fantasy to dress-up with the broadest selection of costumes and accessories, offering everything from full mascot suits to masks and wigs, from deluxe licensed costumes to simple starter pieces, from costume shoes to character make-up, and so much more. Family-owned, family-focused, and based in new York since 1951, you can look to Rubie's for every costume occasion and season: Halloween, Christmas, Mardi Gras, Easter, and all in-between. | 9.8 ounces (View shipping rates and policies)",9.8 ounces,https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Rubies-Deluxe-Pikachu-Pokemon-Costume/dp/B07BZJM592,Y,Nike Accessories
A7,Laptop,Samsung,,,$97.68 ,,,,https://images-na.ssl-images-amazon.com/images/I/41RQ9OU%2BTPL.jpg,https://www.amazon.com/Hoffmaster-120813-Double-Tipped-Triangular-Wrapped/dp/B00BS7XCZ4,Y,Best gaming experience
A8,kitchen utensil,cera ,kitchen products,,$12.99 ,ProductDimensions:72x36x0inches|ItemWeight:11.2ounces|ShippingWeight:12.2ounces(Viewshippingratesandpolicies)|Manufacturer:Artscape|ASIN:B000Q3PRYA|DomesticShipping:ItemcanbeshippedwithinU.S.|InternationalShipping:ThisitemcanbeshippedtoselectcountriesoutsideoftheU.S.LearnMore|ShippingAdvisory:Thisitemmustbeshippedseparatelyfromotheritemsinyourorder.Additionalshippingchargeswillnotapply.|Itemmodelnumber:01-0121,"show up to 2 reviews by default Product Description Artscape window films create the look of stained and etched glass. These thin, translucent films provide privacy while still allowing natural light to enter the room. Artscape films are easily applied to any smooth glass surface. They do not use adhesives and are easily removed if needed. They can be trimmed or combined to fit any size window. The images have a repeating pattern left to right and top to bottom and can be used either vertically or horizontally. These films provide UV protection and are the perfect decorative accent for windows that require continued privacy. Artscape patented products are all made in the USA. From the Manufacturer Artscape window films create the look of stained and etched glass. These thin, translucent films provide privacy while still allowing natural light to enter the room. Artscape films are easily applied to any smooth glass surface. They do not use adhesives and are easily removed if needed. They can be trimmed or combined to fit any size window. The images have a repeating pattern left to right and top to bottom and can be used either vertically or horizontally. These films provide UV protection and are the perfect decorative accent for windows that require continued privacy. Artscape patented products are all made in the USA. | 12.2 ounces (View shipping rates and policies)",12.2 ounces,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg|https://images-na.ssl-images-amazon.com/images/I/417B20oEehL.jpg|https://images-na.ssl-images-amazon.com/images/I/41J3bDg633L.jpg|https://images-na.ssl-images-amazon.com/images/I/51hhnuGWwdL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/ARTSCAPE-Etched-Glass-Window-Film/dp/B000Q3PRYA,Y,Smart technology home appliences
A9,home decor,candid crafts,Home decoration items,,$18.16 ,ProductDimensions:0.8x5x8.2inches|ItemWeight:3.2ounces|ShippingWeight:3.2ounces(Viewshippingratesandpolicies)|ASIN:B07NPJNZ9T|Itemmodelnumber:6054517|Manufacturerrecommendedage:36months-5years,"Go to your orders and start the return Select the ship method Ship it! | Go to your orders and start the return Select the ship method Ship it! | Create a magical story time experience for your child with moonlit 3-story reels bundle! Add tales about pirates, Dragons and a T-Rex to your Moonlite collection and introduce your little boy to exciting, adventure-filled stories he'll love! With the award-winning Moonlite storybook projector for your smartphone (sold separately) and the story reels included in this set, Enjoy reading how to be a pirate, there was an old Dragon who swallowed a Knight and I'm a T.Rex! Clip the projector onto your smartphone or smart device (not included) and slide in a story reel. Use the free app to read along to beautiful projected illustrations and create a truly immersive reading experience with the in-app sound effects! As your child listens to these exciting stories, they'll develop their language skills, creativity and a love of reading and learning. Cozy up for story time with Moonlite and the history reels bundle! | 3.2 ounces (View shipping rates and policies)",3.2 ounces,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg|https://images-na.ssl-images-amazon.com/images/I/51MYg4EV2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/51tNGkk%2BQSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EkeBHHZuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FGAr81NXL.jpg|https://images-na.ssl-images-amazon.com/images/I/511xp-dN1nL.jpg|https://images-na.ssl-images-amazon.com/images/I/B1HrN5Ag7JS.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Moonlite-3-Story-Bundle-Storybook-Projector/dp/B07NPJNZ9T,Y,Best gaming experience
A10,Mobile Phone,Apple,Electronic device,cutting-edge technology,$84.61 ,ProductDimensions:4x3x9.4inches|ItemWeight:2.01pounds|ShippingWeight:2.1pounds(Viewshippingratesandpolicies)|ASIN:B07M7XYMRW|Itemmodelnumber:JAN190710|Manufacturerrecommendedage:15yearsandup,"Inspired by the powerful women of The DC universe, DC cover girls is a long-running line that features dynamic depictions of the most famous superheroes and Super-Villains in premium 9"" Statues, all based on art from some of the top talent in the comics industry. The latest entry in the line is black Canary. Coming from the eisner-nominated artist and writer Joelle Jones, this statue is a vibrant and modern take on DC's dangerous diva. With a rock 'n' Roll fashion sense-featuring the leather jacket and corset-infused rebirth-era character design-and a fearless attitude to take on any foe, this bird of prey is ready for whatever the night will throw at her. Measuring 9"" Tall, this sharply detailed sculpt is cast in Polynesian, and is a great piece for fans of Jones and black Canary. Limited to 5, 000 pieces and individually numbered. Figure measures approximately 9.40"" Tall. | 2.1 pounds (View shipping rates and policies)",2.1 pounds,https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/DC-Cover-Girls-Canary-Jo%C3%ABlle/dp/B07M7XYMRW,Y,Best gaming experience
